"subject","CHILDCARE_ARRANGEMENT","homebased_daycare_yn","licensed_provider_yn"
"26-2516709","Daycare (centre-based or home-based)","Yes","No"
"26-1366758","Care by a relative","No","No"
"26-1365378","Care by a relative","No","Yes"
"26-1342570","Care in someone’s home by a non-relative","No","Yes"
"26-2491781","Care in someone’s home by a non-relative","Yes","No"
"26-1364840","Care in child’s home by a non-relative","Yes","Yes"
"26-3829269","Care in someone’s home by a non-relative","No","No"
"26-3814018","Care in someone’s home by a non-relative","No","Yes"
"26-2515361","Care by a relative","Yes","No"
"26-1373528","Care in someone’s home by a non-relative","Yes","No"
"26-1382781","Care in child’s home by a non-relative","Yes","Yes"
"26-1406413","Care by a relative","Yes","No"
"26-3469340","Daycare (centre-based or home-based)","No","No"
"26-2496284","Daycare (centre-based or home-based)","Yes","No"
"26-1404244","Care in someone’s home by a non-relative","Yes","Yes"
"26-3468266","Care in child’s home by a non-relative","No","Yes"
"26-1398347","Care by a relative","No","No"
"26-1368769","Care by a relative","Yes","No"
"26-3814569","Daycare (centre-based or home-based)","No","No"
"26-1347764","Care in child’s home by a non-relative","Yes","No"
"26-1382833","Care by a relative","No","Yes"
"26-1357088","Care in child’s home by a non-relative","No","No"
"26-3504337","Care by a relative","Yes","No"
"26-1404438","Daycare (centre-based or home-based)","No","No"
"26-1352772","Care in someone’s home by a non-relative","No","No"
"26-2514119","Care by a relative","Yes","No"
"26-2513090","Care in someone’s home by a non-relative","Yes","Yes"
"26-1375434","Care in child’s home by a non-relative","No","Yes"
"26-3815904","Care in someone’s home by a non-relative","Yes","No"
"26-3822916","Care by a relative","No","No"
"26-2521417","Care by a relative","Yes","Yes"
"26-1348827","Care in child’s home by a non-relative","No","No"
"26-2491421","Care in child’s home by a non-relative","No","Yes"
"26-3469363","Daycare (centre-based or home-based)","Yes","Yes"
"26-2514119","Care by a relative","Yes","Yes"
"26-1409281","Care in child’s home by a non-relative","Yes","No"
"26-1384020","Care in someone’s home by a non-relative","No","Yes"
"26-3461350","Care by a relative","No","Yes"
"26-1377506","Care in someone’s home by a non-relative","Yes","No"
"26-3811915","Care by a relative","Yes","Yes"
"26-2522188","Care in child’s home by a non-relative","No","No"
"26-3469294","Care in someone’s home by a non-relative","No","No"
"26-2537491","Daycare (centre-based or home-based)","Yes","No"
"26-2512032","Care in child’s home by a non-relative","Yes","Yes"
"26-2988088","Care by a relative","No","No"
"26-1406268","Care by a relative","No","Yes"
"26-3828733","Care in child’s home by a non-relative","Yes","No"
"26-3502058","Daycare (centre-based or home-based)","Yes","Yes"
"26-1383758","Care by a relative","Yes","No"
"26-1378707","Care in someone’s home by a non-relative","No","No"
"26-3505093","Daycare (centre-based or home-based)","No","Yes"
"26-1391739","Daycare (centre-based or home-based)","Yes","Yes"
"26-1395798","Care by a relative","No","No"
"26-1381288","Care by a relative","No","No"
"26-1381003","Daycare (centre-based or home-based)","Yes","No"
"26-1866802","Care in someone’s home by a non-relative","No","Yes"
"26-1361143","Care by a relative","Yes","Yes"
"26-3466804","Daycare (centre-based or home-based)","Yes","No"
"26-1385229","Daycare (centre-based or home-based)","Yes","Yes"
"26-1351869","Care in child’s home by a non-relative","No","Yes"
"26-1402014","Care in child’s home by a non-relative","No","No"
"26-3464518","Care in someone’s home by a non-relative","Yes","Yes"
"26-1405014","Daycare (centre-based or home-based)","No","No"
"26-3826326","Care in someone’s home by a non-relative","Yes","Yes"
"26-2493297","Care in someone’s home by a non-relative","No","Yes"
"26-1358312","Care in child’s home by a non-relative","Yes","No"
"26-2535642","Daycare (centre-based or home-based)","No","Yes"
"26-1344227","Care by a relative","No","Yes"
"26-3506346","Daycare (centre-based or home-based)","No","No"
"26-1382067","Care in child’s home by a non-relative","No","No"
"26-1393615","Daycare (centre-based or home-based)","No","No"
"26-3501211","Care in child’s home by a non-relative","No","Yes"
"26-1868752","Care in someone’s home by a non-relative","No","No"
"26-1379881","Care by a relative","No","No"
"26-2982878","Care in child’s home by a non-relative","Yes","No"
"26-3827176","Care by a relative","No","Yes"
"26-1405609","Care by a relative","No","Yes"
"26-3823872","Care by a relative","Yes","No"
"26-3506062","Care in someone’s home by a non-relative","Yes","Yes"
"26-1408278","Care in someone’s home by a non-relative","Yes","Yes"
"26-2515442","Care by a relative","No","Yes"
"26-2514439","Daycare (centre-based or home-based)","Yes","Yes"
"26-2986209","Daycare (centre-based or home-based)","Yes","No"
"26-1358799","Care by a relative","No","Yes"
"26-2492823","Care in someone’s home by a non-relative","No","No"
"26-3501603","Care in child’s home by a non-relative","No","Yes"
"26-2491535","Care by a relative","No","No"
"26-2534073","Daycare (centre-based or home-based)","No","No"
"26-1388954","Care by a relative","Yes","No"
"26-2524648","Care by a relative","No","Yes"
"26-3507317","Daycare (centre-based or home-based)","No","Yes"
"26-2536004","Care in child’s home by a non-relative","Yes","Yes"
"26-3469954","Care in child’s home by a non-relative","Yes","No"
"26-1347248","Care in child’s home by a non-relative","Yes","Yes"
"26-3818649","Care by a relative","Yes","Yes"
"26-1394062","Care by a relative","No","No"
"26-1401423","Care by a relative","Yes","Yes"
"26-1405832","Care in child’s home by a non-relative","No","No"
"26-1864860","Care by a relative","Yes","No"
"26-1364872","Care in someone’s home by a non-relative","Yes","No"
"26-1863035","Care in someone’s home by a non-relative","Yes","Yes"
"26-3465062","Care by a relative","No","Yes"
"26-2527681","Care by a relative","Yes","Yes"
"26-1397983","Care by a relative","Yes","No"
"26-2536136","Care in someone’s home by a non-relative","No","Yes"
"26-1395240","Care in child’s home by a non-relative","No","No"
"26-1346635","Daycare (centre-based or home-based)","No","No"
"26-1394028","Care in someone’s home by a non-relative","Yes","Yes"
"26-1387121","Care in someone’s home by a non-relative","Yes","Yes"
"26-1383264","Daycare (centre-based or home-based)","Yes","Yes"
"26-2491535","Care by a relative","No","No"
"26-3815225","Care in someone’s home by a non-relative","Yes","Yes"
"26-1394270","Care by a relative","Yes","Yes"
"26-2513149","Care in child’s home by a non-relative","Yes","Yes"
"26-2526298","Care in someone’s home by a non-relative","No","Yes"
"26-3501345","Care by a relative","Yes","No"
"26-2496418","Care in someone’s home by a non-relative","No","No"
"26-2493099","Daycare (centre-based or home-based)","No","Yes"
"26-3819732","Care in child’s home by a non-relative","No","Yes"
"26-1375582","Care by a relative","No","Yes"
"26-3466590","Care in someone’s home by a non-relative","Yes","Yes"
"26-1385398","Care by a relative","No","Yes"
"26-1347402","Care in someone’s home by a non-relative","Yes","Yes"
"26-2988148","Care in child’s home by a non-relative","Yes","No"
"26-2981795","Daycare (centre-based or home-based)","Yes","No"
"26-3502895","Daycare (centre-based or home-based)","Yes","No"
"26-3509976","Daycare (centre-based or home-based)","No","No"
"26-1406568","Daycare (centre-based or home-based)","Yes","No"
"26-1353938","Care in someone’s home by a non-relative","Yes","Yes"
"26-1403778","Care by a relative","Yes","No"
"26-2491650","Care by a relative","No","Yes"
"26-1867337","Care by a relative","Yes","No"
"26-3468405","Care in someone’s home by a non-relative","Yes","No"
"26-2535002","Care in child’s home by a non-relative","Yes","No"
"26-2521845","Care in child’s home by a non-relative","No","Yes"
"26-1346620","Care in child’s home by a non-relative","No","Yes"
"26-2513083","Care by a relative","No","No"
"26-3504790","Daycare (centre-based or home-based)","Yes","Yes"
"26-1395644","Care in child’s home by a non-relative","Yes","Yes"
"26-2512032","Care in someone’s home by a non-relative","Yes","Yes"
"26-3825884","Care in someone’s home by a non-relative","Yes","Yes"
"26-2524594","Daycare (centre-based or home-based)","No","Yes"
"26-1861020","Care in someone’s home by a non-relative","Yes","No"
"26-2524070","Care by a relative","Yes","Yes"
"26-1384186","Care in someone’s home by a non-relative","Yes","No"
"26-1341210","Daycare (centre-based or home-based)","No","No"
"26-1345929","Care in someone’s home by a non-relative","No","Yes"
"26-1356615","Care in someone’s home by a non-relative","No","Yes"
"26-1381195","Care by a relative","Yes","No"
"26-3812568","Care in someone’s home by a non-relative","No","No"
"26-1402339","Care in child’s home by a non-relative","Yes","Yes"
"26-1361609","Care in child’s home by a non-relative","Yes","Yes"
"26-1379345","Care in child’s home by a non-relative","Yes","Yes"
"26-1396000","Daycare (centre-based or home-based)","Yes","Yes"
"26-2496406","Care in someone’s home by a non-relative","Yes","No"
"26-1376890","Care in someone’s home by a non-relative","No","No"
"26-3823611","Care in child’s home by a non-relative","No","Yes"
"26-3818177","Care in someone’s home by a non-relative","No","No"
"26-2982239","Daycare (centre-based or home-based)","No","No"
"26-1341019","Daycare (centre-based or home-based)","Yes","No"
"26-1355177","Daycare (centre-based or home-based)","No","Yes"
"26-1405308","Daycare (centre-based or home-based)","Yes","No"
"26-3469836","Care in someone’s home by a non-relative","Yes","Yes"
"26-1375501","Daycare (centre-based or home-based)","No","Yes"
"26-1389168","Daycare (centre-based or home-based)","Yes","Yes"
"26-1366879","Care in child’s home by a non-relative","Yes","No"
"26-1365378","Care in child’s home by a non-relative","No","No"
"26-2533696","Care by a relative","Yes","No"
"26-3829992","Care by a relative","No","No"
"26-1409947","Care in child’s home by a non-relative","Yes","Yes"
"26-1354001","Care in someone’s home by a non-relative","Yes","Yes"
"26-1368696","Daycare (centre-based or home-based)","No","No"
"26-3823125","Daycare (centre-based or home-based)","Yes","Yes"
"26-2538856","Care in child’s home by a non-relative","Yes","No"
"26-2528197","Care by a relative","Yes","No"
"26-1347457","Daycare (centre-based or home-based)","No","No"
"26-2512032","Care in someone’s home by a non-relative","Yes","No"
"26-3821707","Care by a relative","Yes","Yes"
"26-1355542","Daycare (centre-based or home-based)","No","No"
"26-1345590","Daycare (centre-based or home-based)","Yes","No"
"26-3502149","Daycare (centre-based or home-based)","Yes","No"
"26-1357545","Daycare (centre-based or home-based)","Yes","Yes"
"26-1342103","Care by a relative","Yes","No"
"26-2526363","Care by a relative","Yes","Yes"
"26-1344107","Daycare (centre-based or home-based)","No","Yes"
"26-2527590","Care by a relative","No","No"
"26-1399319","Care in someone’s home by a non-relative","No","Yes"
"26-2517829","Care by a relative","Yes","No"
"26-2513830","Care in child’s home by a non-relative","No","No"
"26-1369515","Care by a relative","No","Yes"
"26-1404438","Care in someone’s home by a non-relative","No","Yes"
"26-2525400","Care in child’s home by a non-relative","Yes","Yes"
"26-1344023","Care by a relative","No","Yes"
"26-3818348","Care in child’s home by a non-relative","No","No"
"26-1349452","Care in someone’s home by a non-relative","Yes","Yes"
"26-2985739","Daycare (centre-based or home-based)","Yes","Yes"
"26-1385776","Care by a relative","No","No"
"26-1374561","Care in someone’s home by a non-relative","Yes","No"
"26-1357158","Care in child’s home by a non-relative","No","No"
"26-3811926","Daycare (centre-based or home-based)","Yes","Yes"
"26-2537137","Daycare (centre-based or home-based)","No","No"
"26-1384401","Care in child’s home by a non-relative","No","No"
"26-1343941","Care by a relative","No","No"
"26-3812926","Care by a relative","Yes","Yes"
"26-1393615","Care in child’s home by a non-relative","Yes","No"
"26-1348854","Daycare (centre-based or home-based)","No","Yes"
"26-3815525","Daycare (centre-based or home-based)","No","Yes"
"26-1391948","Daycare (centre-based or home-based)","Yes","Yes"
"26-1362027","Daycare (centre-based or home-based)","No","No"
"26-3818937","Care in someone’s home by a non-relative","Yes","No"
