"subject","instanceid","FAMILY_INCOM"
"26-1358988",702912,"$500, 000 or more"
"26-1358988",742384,"$500, 000 or more"
"26-1358988",1518497,"$500, 000 or more"
"26-1358988",1592201,"$500, 000 or more"
"26-1358988",2064729,"$500, 000 or more"
"26-1359002",732789,"$60,000 to $79,999"
"26-1359002",1071102,"$60,000 to $79,999"
"26-1359016",1441745,"$300, 000 to $499, 999"
"26-1359016",1466753,"$300, 000 to $499, 999"
"26-1359016",2203835,"$300, 000 to $499, 999"
"26-1359054",287116,"$80,000 to $99,999"
"26-1359054",638615,"$80,000 to $99,999"
"26-1359127",323282,"$80,000 to $99,999"
"26-1359127",411851,"$80,000 to $99,999"
"26-1359127",683510,"$80,000 to $99,999"
"26-1359129",792041,"Less than $10,000"
"26-1359129",1107275,"Less than $10,000"
"26-1359129",2607575,"Less than $10,000"
"26-1359212",353300,"$150, 000 to $199, 999"
"26-1359212",448288,"$150, 000 to $199, 999"
"26-1359212",869618,"$150, 000 to $199, 999"
"26-1359212",1449969,"$150, 000 to $199, 999"
"26-1359212",2446025,"$150, 000 to $199, 999"
"26-1359403",577487,"$150, 000 to $199, 999"
"26-1359403",802777,"$150, 000 to $199, 999"
"26-1359436",2412615,"$200, 000 to $299, 999"
"26-1359447",2535811,"$300, 000 to $499, 999"
"26-1359464",2022601,"$150,000 or more"
"26-1359464",2557819,"$150,000 or more"
"26-1359492",243090,"$150, 000 to $199, 999"
"26-1359492",426049,"$150, 000 to $199, 999"
"26-1359492",1893737,"$150, 000 to $199, 999"
"26-1359560",1491886,"$150,000 or more"
"26-1359585",614856,"$100,000 to $149,999"
"26-1359585",1122641,"$100,000 to $149,999"
"26-1359585",1360263,"$100,000 to $149,999"
"26-1359722",949156,"$150, 000 to $199, 999"
"26-1359872",1758601,"$200, 000 to $299, 999"
"26-1359979",1579869,"$100,000 to $149,999"
"26-1359979",2276587,"$100,000 to $149,999"
"26-1361062",2067670,"$150, 000 to $199, 999"
"26-1361062",2144098,"$150, 000 to $199, 999"
"26-1361062",2218702,"$150, 000 to $199, 999"
"26-1361067",1069659,"$200, 000 to $299, 999"
"26-1361067",1617197,"$200, 000 to $299, 999"
"26-1361143",1545933,"$500, 000 or more"
"26-1361143",1845606,"$500, 000 or more"
"26-1361144",187820,"$200, 000 to $299, 999"
"26-1361144",1417106,"$200, 000 to $299, 999"
"26-1361160",894940,"$150,000 or more"
"26-1361160",1821190,"$150,000 or more"
"26-1361160",2607849,"$150,000 or more"
"26-1361192",1347996,"$200, 000 to $299, 999"
"26-1361251",8075,"$10,000 to $19,999"
"26-1361251",250235,"$10,000 to $19,999"
"26-1361251",1812968,"$10,000 to $19,999"
"26-1361251",2165773,"$10,000 to $19,999"
"26-1361299",212159,"$150, 000 to $199, 999"
"26-1361299",894692,"$150, 000 to $199, 999"
"26-1361299",1196901,"$150, 000 to $199, 999"
"26-1361299",1808318,"$150, 000 to $199, 999"
"26-1361331",681165,"$100,000 to $149,999"
"26-1361331",1863396,"$100,000 to $149,999"
"26-1361331",2348964,"$100,000 to $149,999"
"26-1361338",51029,"$150,000 or more"
"26-1361338",472437,"$150,000 or more"
"26-1361338",616585,"$150,000 or more"
"26-1361609",22278,"$150, 000 to $199, 999"
"26-1361609",1611797,"$150, 000 to $199, 999"
"26-1361609",2467426,"$150, 000 to $199, 999"
"26-1361623",242096,"$100,000 to $149,999"
"26-1361623",281685,"$100,000 to $149,999"
"26-1361623",725526,"$100,000 to $149,999"
"26-1361623",1214999,"$100,000 to $149,999"
"26-1361623",2173536,"$100,000 to $149,999"
"26-1361716",227824,"$80,000 to $99,999"
"26-1361716",1555415,"$80,000 to $99,999"
"26-1361769",1523829,"$40,000 to $49,999"
"26-1361769",2364038,"$40,000 to $49,999"
"26-1361861",500701,"$150, 000 to $199, 999"
"26-1361861",511400,"$150, 000 to $199, 999"
"26-1361879",1179023,"$100,000 to $149,999"
"26-1361879",1204285,"$100,000 to $149,999"
"26-1361879",2127341,"$100,000 to $149,999"
"26-1362027",196356,"$150,000 or more"
"26-1362027",1445977,"$150,000 or more"
"26-1362027",1894944,"$150,000 or more"
"26-1362027",2081309,"$150,000 or more"
"26-1362027",2113696,"$150,000 or more"
"26-1362366",225382,"$200, 000 to $299, 999"
"26-1362366",549399,"$200, 000 to $299, 999"
"26-1362633",379919,"$80,000 to $99,999"
"26-1362633",2058123,"$80,000 to $99,999"
"26-1362703",563183,"$60,000 to $79,999"
"26-1362703",2624251,"$60,000 to $79,999"
"26-1362706",64304,"$150, 000 to $199, 999"
"26-1362706",411391,"$150, 000 to $199, 999"
"26-1362706",1701304,"$150, 000 to $199, 999"
"26-1362706",2098411,"$150, 000 to $199, 999"
"26-1363035",767418,"$40,000 to $49,999"
"26-1363035",2014806,"$40,000 to $49,999"
"26-1363035",2276753,"$40,000 to $49,999"
"26-1363079",414387,"$150, 000 to $199, 999"
"26-1363265",1443509,"$150, 000 to $199, 999"
"26-1363265",1521842,"$150, 000 to $199, 999"
"26-1363265",1695838,"$150, 000 to $199, 999"
"26-1363265",1772257,"$150, 000 to $199, 999"
"26-1363265",2038431,"$150, 000 to $199, 999"
"26-1363334",705334,"$150,000 or more"
"26-1363334",2317028,"$150,000 or more"
"26-1363377",336701,"$100,000 to $149,999"
"26-1363389",246223,"$20,000 to $29,999"
"26-1363389",1030431,"$20,000 to $29,999"
"26-1363400",2596936,"$80,000 to $99,999"
"26-1363414",30968,"$60,000 to $79,999"
"26-1363414",89395,"$60,000 to $79,999"
"26-1363414",2163816,"$60,000 to $79,999"
"26-1363502",593744,"$100,000 to $149,999"
"26-1363502",786537,"$100,000 to $149,999"
"26-1363576",542393,"$150,000 or more"
"26-1363576",1017027,"$150,000 or more"
"26-1363576",2410842,"$150,000 or more"
"26-1363610",325288,"$150, 000 to $199, 999"
"26-1363610",1034584,"$150, 000 to $199, 999"
"26-1363610",1957213,"$150, 000 to $199, 999"
"26-1363724",681280,"$80,000 to $99,999"
"26-1363741",688936,"$80,000 to $99,999"
"26-1363741",693659,"$80,000 to $99,999"
"26-1363741",2015976,"$80,000 to $99,999"
"26-1363994",550458,"$200, 000 to $299, 999"
"26-1364128",2009764,"$100,000 to $149,999"
"26-1364128",2546695,"$100,000 to $149,999"
"26-1364128",2580146,"$100,000 to $149,999"
"26-1364291",2278888,"$50,000 to $59,999"
"26-1364291",2295191,"$50,000 to $59,999"
"26-1364393",1283334,"$40,000 to $49,999"
"26-1364393",1792660,"$40,000 to $49,999"
"26-1364393",2009257,"$40,000 to $49,999"
"26-1364436",659249,"$150, 000 to $199, 999"
"26-1364436",727036,"$150, 000 to $199, 999"
"26-1364483",655717,"$80,000 to $99,999"
"26-1364483",803748,"$80,000 to $99,999"
"26-1364483",830579,"$80,000 to $99,999"
"26-1364483",1255537,"$80,000 to $99,999"
"26-1364483",1306539,"$80,000 to $99,999"
"26-1364483",1986226,"$80,000 to $99,999"
"26-1364483",2383451,"$80,000 to $99,999"
"26-1364486",1634285,"$150,000 or more"
"26-1364486",1812576,"$150, 000 to $199, 999"
"26-1364486",2037510,"$150,000 or more"
"26-1364486",2081991,"$150,000 or more"
"26-1364664",665035,"$200, 000 to $299, 999"
"26-1364766",306482,"$200, 000 to $299, 999"
"26-1364766",1404715,"$200, 000 to $299, 999"
"26-1364840",861975,"$80,000 to $99,999"
"26-1364872",325296,"$300, 000 to $499, 999"
"26-1364872",407443,"$300, 000 to $499, 999"
"26-1364988",306500,"$150, 000 to $199, 999"
"26-1364988",1771350,"$150, 000 to $199, 999"
"26-1364994",1216244,"$150, 000 to $199, 999"
"26-1364994",1472014,"$150, 000 to $199, 999"
"26-1364994",2316248,"$150, 000 to $199, 999"
"26-1365154",2560413,"$200, 000 to $299, 999"
"26-1365167",993904,"$80,000 to $99,999"
"26-1365167",1146753,"$80,000 to $99,999"
"26-1365190",747819,"$150, 000 to $199, 999"
"26-1365205",1362692,"$150, 000 to $199, 999"
"26-1365357",988754,"$150,000 or more"
"26-1365357",1254106,"$150,000 or more"
"26-1365357",2070144,"$150,000 or more"
"26-1365378",948529,"$200, 000 to $299, 999"
"26-1365378",2434051,"$200, 000 to $299, 999"
"26-1365420",776290,"$200, 000 to $299, 999"
"26-1365502",1836077,"$150,000 or more"
"26-1365502",2227287,"$150,000 or more"
"26-1365565",1171361,"$80,000 to $99,999"
"26-1365565",1709291,"$80,000 to $99,999"
"26-1365565",1821924,"$80,000 to $99,999"
"26-1365565",1945288,"$80,000 to $99,999"
"26-1365565",1981224,"$80,000 to $99,999"
"26-1365565",1997186,"$80,000 to $99,999"
"26-1365565",2156511,"$80,000 to $99,999"
"26-1365603",328327,"$150,000 or more"
"26-1365603",502309,"$150,000 or more"
"26-1365603",813227,"$150,000 or more"
"26-1365603",1315377,"$150,000 or more"
"26-1365603",1850363,"$150,000 or more"
"26-1365603",1955469,"$150,000 or more"
"26-1365603",2513326,"$150,000 or more"
"26-1366143",770161,"$40,000 to $49,999"
"26-1366143",1823604,"$40,000 to $49,999"
"26-1366143",2261372,"$40,000 to $49,999"
"26-1366340",26509,"$150,000 or more"
"26-1366340",2017696,"$150,000 or more"
"26-1366340",2223033,"$150,000 or more"
"26-1366382",546923,"$100,000 to $149,999"
"26-1366382",2647163,"$100,000 to $149,999"
"26-1366388",644036,"$10,000 to $19,999"
"26-1366388",2093253,"$10,000 to $19,999"
"26-1366388",2583310,"$10,000 to $19,999"
"26-1366455",2027277,"$20,000 to $29,999"
"26-1366522",1191260,"$100,000 to $149,999"
"26-1366522",2186990,"$100,000 to $149,999"
"26-1366566",2380058,"$40,000 to $49,999"
"26-1366641",1219917,"$300, 000 to $499, 999"
"26-1366641",1954326,"$300, 000 to $499, 999"
"26-1366758",1089710,"$50,000 to $59,999"
"26-1366758",1775415,"$50,000 to $59,999"
"26-1366758",1919568,"$50,000 to $59,999"
"26-1366761",431927,"$80,000 to $99,999"
"26-1366762",557934,"$150, 000 to $199, 999"
"26-1366879",975619,"$200, 000 to $299, 999"
"26-1366879",1819537,"$200, 000 to $299, 999"
"26-1366941",2086128,"$20,000 to $29,999"
"26-1367044",1796129,"$300, 000 to $499, 999"
"26-1367044",2561498,"$300, 000 to $499, 999"
"26-1367133",1120780,"$80,000 to $99,999"
"26-1367154",207840,"$100,000 to $149,999"
"26-1367154",467395,"$100,000 to $149,999"
"26-1367154",1599173,"$100,000 to $149,999"
"26-1367154",2445518,"$100,000 to $149,999"
"26-1367197",2386809,"$100,000 to $149,999"
"26-1367221",554950,"$200, 000 to $299, 999"
"26-1367221",1345078,"$200, 000 to $299, 999"
"26-1367221",2610482,"$200, 000 to $299, 999"
"26-1367285",1019379,"$500, 000 or more"
"26-1367285",1040090,"$500, 000 or more"
"26-1367285",2117447,"$500, 000 or more"
"26-1367298",83082,"$40,000 to $49,999"
"26-1367298",1926526,"$40,000 to $49,999"
"26-1367298",2530068,"$40,000 to $49,999"
"26-1367473",737553,"$150, 000 to $199, 999"
"26-1367473",2306503,"$150, 000 to $199, 999"
"26-1367628",2606613,"$150, 000 to $199, 999"
"26-1367663",1027364,"$150, 000 to $199, 999"
"26-1367663",2052228,"$150, 000 to $199, 999"
"26-1367680",760564,"$100,000 to $149,999"
"26-1367680",2494921,"$100,000 to $149,999"
"26-1367680",2639012,"$100,000 to $149,999"
"26-1367732",1962870,"$100,000 to $149,999"
"26-1367792",444011,"$150,000 or more"
"26-1367792",1697460,"$150,000 or more"
"26-1367852",201240,"$150, 000 to $199, 999"
"26-1367852",1674264,"$150, 000 to $199, 999"
"26-1367852",1757841,"$150, 000 to $199, 999"
"26-1367852",2021982,"$150, 000 to $199, 999"
"26-1367906",1491250,"$150, 000 to $199, 999"
"26-1367928",1002436,"$150, 000 to $199, 999"
"26-1367928",1957986,"$150, 000 to $199, 999"
"26-1367928",2369305,"$150, 000 to $199, 999"
"26-1367963",216771,"$100,000 to $149,999"
"26-1367963",1554505,"$100,000 to $149,999"
"26-1368153",168453,"$150, 000 to $199, 999"
"26-1368153",984154,"$150, 000 to $199, 999"
"26-1368153",1922927,"$150, 000 to $199, 999"
"26-1368153",2628486,"$150, 000 to $199, 999"
"26-1368153",2648024,"$150, 000 to $199, 999"
"26-1368161",516705,"$300, 000 to $499, 999"
"26-1368171",902934,"$60,000 to $79,999"
"26-1368171",2605968,"$60,000 to $79,999"
"26-1368188",731765,"$100,000 to $149,999"
"26-1368188",1073470,"$100,000 to $149,999"
"26-1368188",1385859,"$100,000 to $149,999"
"26-1368221",239387,"$500, 000 or more"
"26-1368221",416909,"$500, 000 or more"
"26-1368221",1913843,"$500, 000 or more"
"26-1368241",1938888,"$60,000 to $79,999"
"26-1368301",751426,"$150, 000 to $199, 999"
"26-1368423",1046142,"$50,000 to $59,999"
"26-1368423",1356908,"$50,000 to $59,999"
"26-1368423",2251875,"$50,000 to $59,999"
"26-1368423",2316387,"$50,000 to $59,999"
"26-1368521",1259323,"$100,000 to $149,999"
"26-1368521",2317145,"$100,000 to $149,999"
"26-1368590",129559,"$150, 000 to $199, 999"
"26-1368590",169354,"$150, 000 to $199, 999"
"26-1368590",2422609,"$150, 000 to $199, 999"
"26-1368608",404339,"$40,000 to $49,999"
"26-1368696",300269,"$80,000 to $99,999"
"26-1368696",1880341,"$80,000 to $99,999"
"26-1368769",116672,"$100,000 to $149,999"
"26-1368769",2372095,"$100,000 to $149,999"
"26-1369220",2564125,"$60,000 to $79,999"
"26-1369229",728951,"$100,000 to $149,999"
"26-1369236",1687032,"$200, 000 to $299, 999"
"26-1369270",580506,"$60,000 to $79,999"
"26-1369270",2643867,"$60,000 to $79,999"
"26-1369371",1611745,"$40,000 to $49,999"
"26-1369389",75211,"$80,000 to $99,999"
"26-1369389",469558,"$80,000 to $99,999"
"26-1369389",2327931,"$80,000 to $99,999"
"26-1369396",364418,"$150, 000 to $199, 999"
"26-1369501",223836,"$200, 000 to $299, 999"
"26-1369515",537026,"$50,000 to $59,999"
"26-1369515",2022757,"$50,000 to $59,999"
"26-1369515",2093757,"$50,000 to $59,999"
"26-1369646",447992,"$150, 000 to $199, 999"
"26-1369648",462389,"$40,000 to $49,999"
"26-1369661",198288,"$100,000 to $149,999"
"26-1369661",2077880,"$100,000 to $149,999"
"26-1369717",187628,"$100,000 to $149,999"
"26-1369717",217266,"$100,000 to $149,999"
"26-1369717",1353454,"$100,000 to $149,999"
"26-1369717",1734865,"$100,000 to $149,999"
"26-1369737",507357,"$20,000 to $29,999"
"26-1369737",616234,"$20,000 to $29,999"
"26-1369737",1227185,"$20,000 to $29,999"
"26-1369838",1658762,"$150, 000 to $199, 999"
"26-1369838",1821436,"$150, 000 to $199, 999"
"26-1369921",932492,"$150, 000 to $199, 999"
"26-1369921",1100733,"$150, 000 to $199, 999"
"26-1369921",1685066,"$150, 000 to $199, 999"
"26-1369921",2393678,"$150, 000 to $199, 999"
"26-1369928",225659,"$150,000 or more"
"26-1369928",525880,"$150,000 or more"
"26-1369937",2453869,"$10,000 to $19,999"
"26-1371076",377802,"$60,000 to $79,999"
"26-1371138",324693,"$100,000 to $149,999"
"26-1371138",2056558,"$100,000 to $149,999"
"26-1371203",126940,"$300, 000 to $499, 999"
"26-1371203",1387048,"$300, 000 to $499, 999"
"26-1371203",1693895,"$300, 000 to $499, 999"
"26-1371251",924647,"$150, 000 to $199, 999"
"26-1371251",1543744,"$150, 000 to $199, 999"
"26-1371251",1954623,"$150, 000 to $199, 999"
"26-1371494",1900112,"$150, 000 to $199, 999"
"26-1371494",2402740,"$150, 000 to $199, 999"
"26-1371744",2242234,"$100,000 to $149,999"
"26-1371744",2359520,"$100,000 to $149,999"
"26-1371832",1185753,"$150,000 or more"
"26-1371832",2396349,"$150,000 or more"
"26-1371914",260374,"$100,000 to $149,999"
"26-1371941",2417503,"$150, 000 to $199, 999"
"26-1371968",939091,"$150,000 or more"
"26-1371968",1614605,"$150,000 or more"
"26-1372089",365487,"$60,000 to $79,999"
"26-1372089",1612891,"$60,000 to $79,999"
"26-1372100",768374,"$200, 000 to $299, 999"
"26-1372100",839074,"$200, 000 to $299, 999"
"26-1372152",1827107,"$100,000 to $149,999"
"26-1372267",1899611,"$50,000 to $59,999"
"26-1372267",2259309,"$50,000 to $59,999"
"26-1372729",884789,"$150, 000 to $199, 999"
"26-1372810",13072,"$100,000 to $149,999"
"26-1372810",1656839,"$100,000 to $149,999"
"26-1372810",2355427,"$100,000 to $149,999"
"26-1372846",1205388,"$150,000 or more"
"26-1372846",1457777,"$150,000 or more"
"26-1372846",1553094,"$150,000 or more"
"26-1372846",1743270,"$150,000 or more"
"26-1372846",2323854,"$150,000 or more"
"26-1373166",1300366,"$200, 000 to $299, 999"
"26-1373199",1232618,"$80,000 to $99,999"
"26-1373204",305478,"$150,000 or more"
"26-1373204",1678657,"$150,000 or more"
"26-1373204",2309710,"$150,000 or more"
"26-1373232",1636812,"$200, 000 to $299, 999"
"26-1373237",2001071,"$50,000 to $59,999"
"26-1373315",268872,"$60,000 to $79,999"
"26-1373315",1605446,"$60,000 to $79,999"
"26-1373315",1610689,"$60,000 to $79,999"
"26-1373315",2550370,"$60,000 to $79,999"
"26-1373401",325102,"$200, 000 to $299, 999"
"26-1373401",889795,"$200, 000 to $299, 999"
"26-1373401",963721,"$200, 000 to $299, 999"
"26-1373401",1535822,"$200, 000 to $299, 999"
"26-1373401",1789649,"$200, 000 to $299, 999"
"26-1373401",1840347,"$200, 000 to $299, 999"
"26-1373401",2004750,"$200, 000 to $299, 999"
"26-1373401",2301160,"$200, 000 to $299, 999"
"26-1373482",1554869,"$300, 000 to $499, 999"
"26-1373482",2518215,"$300, 000 to $499, 999"
"26-1373528",435197,"$100,000 to $149,999"
"26-1373528",1199794,"$100,000 to $149,999"
"26-1373528",1613898,"$100,000 to $149,999"
"26-1373540",995138,"$150, 000 to $199, 999"
"26-1373540",1624025,"$150, 000 to $199, 999"
"26-1373544",1006364,"$100,000 to $149,999"
"26-1373544",2360618,"$100,000 to $149,999"
"26-1373586",513166,"$150,000 or more"
"26-1373586",1346586,"$150,000 or more"
"26-1373698",2621743,"$100,000 to $149,999"
"26-1373698",2644992,"$100,000 to $149,999"
"26-1373699",1628004,"$200, 000 to $299, 999"
"26-1373775",930558,"$100,000 to $149,999"
"26-1373775",1725608,"$100,000 to $149,999"
"26-1373968",988676,"$150,000 or more"
"26-1374004",89497,"$60,000 to $79,999"
"26-1374031",838636,"$10,000 to $19,999"
"26-1374031",958919,"$10,000 to $19,999"
"26-1374082",347048,"$80,000 to $99,999"
"26-1374082",2261923,"$80,000 to $99,999"
"26-1374181",2368575,"$60,000 to $79,999"
"26-1374181",2445942,"$60,000 to $79,999"
"26-1374247",357372,"$150,000 or more"
"26-1374247",1488030,"$150,000 or more"
"26-1374247",2065371,"$150,000 or more"
"26-1374296",772305,"$100,000 to $149,999"
"26-1374296",1174723,"$100,000 to $149,999"
"26-1374307",2194437,"$150,000 or more"
"26-1374561",248926,"$60,000 to $79,999"
"26-1374561",368930,"$60,000 to $79,999"
"26-1374561",708063,"$60,000 to $79,999"
"26-1374563",32991,"$100,000 to $149,999"
"26-1374563",989577,"$300, 000 to $499, 999"
"26-1374563",2084743,"$300, 000 to $499, 999"
"26-1374563",2387057,"$100,000 to $149,999"
"26-1374606",2097217,"$150, 000 to $199, 999"
"26-1374796",618229,"$100,000 to $149,999"
"26-1374796",1129179,"$100,000 to $149,999"
"26-1374796",1247431,"$100,000 to $149,999"
"26-1374796",1879907,"$100,000 to $149,999"
"26-1374988",1069817,"$100,000 to $149,999"
"26-1374988",2219156,"$100,000 to $149,999"
"26-1374988",2598585,"$100,000 to $149,999"
"26-1375049",1489616,"Less than $10,000"
"26-1375221",207277,"$100,000 to $149,999"
"26-1375221",1389150,"$100,000 to $149,999"
"26-1375221",1518513,"$100,000 to $149,999"
"26-1375221",1536315,"$100,000 to $149,999"
"26-1375221",1554911,"$100,000 to $149,999"
"26-1375221",1981351,"$100,000 to $149,999"
"26-1375233",511975,"$300, 000 to $499, 999"
"26-1375233",1194060,"$300, 000 to $499, 999"
"26-1375233",2081413,"$300, 000 to $499, 999"
"26-1375233",2531147,"$300, 000 to $499, 999"
"26-1375379",945749,"$80,000 to $99,999"
"26-1375434",109784,"$30,000 to $39,999"
"26-1375434",2273742,"$30,000 to $39,999"
"26-1375434",2438701,"$30,000 to $39,999"
"26-1375474",1838151,"$80,000 to $99,999"
"26-1375494",1481604,"$150, 000 to $199, 999"
"26-1375501",581634,"$60,000 to $79,999"
"26-1375501",1107485,"$60,000 to $79,999"
"26-1375501",2573344,"$60,000 to $79,999"
"26-1375576",448115,"$40,000 to $49,999"
"26-1375576",1399329,"$40,000 to $49,999"
"26-1375576",1961320,"$40,000 to $49,999"
